Time,gols_marcados,gols_sofridos,cartões,vitórias,empates,derrotas,partidas,taxa_vitoria,taxa_empate,taxa_derrota,data_jogo,time_casa,time_fora,gols_casa,gols_fora,status,competicao
Palmeiras,53.0,26.0,57.0,19.0,4.0,5.0,28.0,67.85714285714286,14.285714285714285,17.857142857142858,,,,,,,
Flamengo,56.0,15.0,61.0,18.0,7.0,3.0,28.0,64.28571428571429,25.0,10.714285714285714,,,,,,,
Cruzeiro,42.0,21.0,81.0,16.0,8.0,5.0,29.0,55.172413793103445,27.58620689655172,17.24137931034483,,,,,,,
Mirassol,50.0,30.0,69.0,14.0,10.0,5.0,29.0,48.27586206896552,34.48275862068966,17.24137931034483,,,,,,,
Bahia,40.0,32.0,72.0,14.0,7.0,8.0,29.0,48.27586206896552,24.13793103448276,27.58620689655172,,,,,,,
Botafogo,39.0,26.0,70.0,13.0,7.0,9.0,29.0,44.82758620689656,24.13793103448276,31.03448275862069,,,,,,,
Fluminense,35.0,35.0,56.0,12.0,5.0,11.0,28.0,42.85714285714285,17.857142857142858,39.285714285714285,,,,,,,
Vasco da Gama,46.0,41.0,56.0,11.0,6.0,12.0,29.0,37.93103448275862,20.689655172413797,41.37931034482759,,,,,,,
São Paulo,31.0,33.0,79.0,10.0,8.0,11.0,29.0,34.48275862068966,27.58620689655172,37.93103448275862,,,,,,,
Red Bull Bragantino,34.0,44.0,82.0,10.0,6.0,13.0,29.0,34.48275862068966,20.689655172413797,44.82758620689656,,,,,,,
Corinthians,31.0,35.0,88.0,9.0,9.0,11.0,29.0,31.03448275862069,31.03448275862069,37.93103448275862,,,,,,,
Grêmio,30.0,37.0,79.0,9.0,9.0,11.0,29.0,31.03448275862069,31.03448275862069,37.93103448275862,,,,,,,
Ceará,27.0,27.0,62.0,9.0,8.0,11.0,28.0,32.142857142857146,28.57142857142857,39.285714285714285,,,,,,,
Internacional,35.0,42.0,63.0,9.0,8.0,12.0,29.0,31.03448275862069,27.58620689655172,41.37931034482759,,,,,,,
Atlético-MG,26.0,32.0,79.0,8.0,9.0,11.0,28.0,28.57142857142857,32.142857142857146,39.285714285714285,,,,,,,
Santos,28.0,40.0,73.0,8.0,7.0,13.0,28.0,28.57142857142857,25.0,46.42857142857143,,,,,,,
Vitória,27.0,43.0,90.0,7.0,10.0,12.0,29.0,24.13793103448276,34.48275862068966,41.37931034482759,,,,,,,
Juventude,23.0,53.0,82.0,7.0,5.0,17.0,29.0,24.13793103448276,17.24137931034483,58.620689655172406,,,,,,,
Fortaleza,26.0,44.0,85.0,6.0,6.0,16.0,28.0,21.428571428571427,21.428571428571427,57.14285714285714,,,,,,,
Sport,21.0,44.0,73.0,2.0,11.0,15.0,28.0,7.142857142857142,39.285714285714285,53.57142857142857,,,,,,,
,,,,,,,,,,,2025-10-26,São Paulo FC,EC Bahia,2.0,0.0,FINISHED,Campeonato Brasileiro Série A
,,,,,,,,,,,2025-10-26,Botafogo FR,Santos FC,2.0,2.0,FINISHED,Campeonato Brasileiro Série A
,,,,,,,,,,,2025-10-26,Grêmio FBPA,EC Juventude,3.0,1.0,FINISHED,Campeonato Brasileiro Série A
,,,,,,,,,,,2025-10-26,RB Bragantino,CR Vasco da Gama,0.0,1.0,IN_PLAY,Campeonato Brasileiro Série A
,,,,,,,,,,,2025-10-26,SE Palmeiras,Cruzeiro EC,,,TIMED,Campeonato Brasileiro Série A
